lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
supra,suprā,suprā,Preposition,Place,588,"above, beyond (adv. and prep. +acc.)"
surgo,surgō,surgō surgere surrēxī surrēctum,Verb: 3rd Conjugation -ō,Earth and Water,570,rise
suscipio,suscipiō,suscipiō -cipere -cēpī ceptum,Verb: 3rd Conjugation -iō,Verbs of Transport,937,take up
sustineo,sustineō,sustineō sustinēre sustinuī sustentum,Verb: 2nd Conjugation,Social Life,762,"hold up, sustain"
suus,suus,suus -a -um,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,27,"his own, her own, its own"
taceo,taceō,taceō -ēre -uī -itum,Verb: 2nd Conjugation,Other Senses,369,"be silent; tacitus -a -um, silent"
talis,tālis,tālis tāle,Adjective: 3rd Declension,Measurement,203,such
tam,tam,tam,Adverb,Conjunctions/Adverbs,96,"so, so much"
tamen,tamen,tamen,Conjunction,Conjunctions/Adverbs,58,"nevertheless, still"
tamquam,tamquam,tamquam,Adverb,Conjunctions/Adverbs,363,"so as, just as"
tandem,tandem,tandem,Adverb,Conjunctions/Adverbs,427,finally
tango,tangō,tangō tangere tetigī tāctum,Verb: 3rd Conjugation -ō,Other Senses,534,touch
tantum,tantum,"tantum, tantummodo",Adverb,Measurement,216,only
tantus,tantus,tantus -a -um,Adjective: 1st and 2nd Declension,Measurement,105,"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth"
tardus,tardus,tardus -a -um,Adjective: 1st and 2nd Declension,Time,738,"slow, sluggish, lingering"
tectum,tēctum,tēctum -ī n.,Noun: 2nd Declension,The House,386,"roof; building, house"
tego,tegō,tegō tegere tēxī tēctum,Verb: 3rd Conjugation -ō,Deception,376,"cover, conceal"
tellus,tellus,tellus tellūris f.,Noun: 3rd Declension,Earth and Water,337,earth
telum,tēlum,tēlum -ī n.,Noun: 2nd Declension,War and Peace,255,"missile, weapon, spear"
tempestas,tempestas,tempestas -tātis f.,Noun: 3rd Declension,Lengths of Time,753,"period of time, season; bad weather, storm"
templum,templum,templum -ī n.,Noun: 2nd Declension,Religion,485,consecrated ground; temple
tempus,tempus,tempus -oris n.,Noun: 3rd Declension,Time,89,time
tendo,tendō,tendō tendere tetendī tentum,Verb: 3rd Conjugation -ō,Travel,529,"stretch, extend, direct (one’s steps or course)"
tenebrae,tenebrae,tenebrae -brārum f. pl.,Noun: 1st Declension,Vision,775,"darkness, the shadows"
teneo,teneō,teneō -ēre -uī tentum,Verb: 2nd Conjugation,Other Senses,106,"hold, keep"
tener,tener,tener -era -erum,Adjective: 1st and 2nd Declension,Other Senses,490,tender
tempto,temptō,temptō -āre,Verb: 1st Conjugation,Making/Doing,430,"try, test"
tergum,tergum,tergum -ī n.,Noun: 2nd Declension,The Body,474,"back, rear; ā tergō: from the rear"
terra,terra,terra -ae f.,Noun: 1st Declension,Earth and Water,70,land
terreo,terreō,terreō terrēre terruī territum,Verb: 2nd Conjugation,Emotions,705,"terrify, frighten"
tertius,tertius,tertius -a -um,Adjective: 1st and 2nd Declension,Measurement,682,third
testis,testis,testis -is m.,Noun: 3rd Declension,Justice,741,witness
timeo,timeō,timeō -ēre -uī,Verb: 2nd Conjugation,Emotions,153,"to fear, to dread"
timor,timor,timor -ōris m.,Noun: 3rd Declension,Emotions,536,fear
tollo,tollō,tollō tollere sustulī sublātum,Verb: Irregular,Violence,293,"raise up, destroy"
tot,tot,tot,Adverb,Measurement,259,so many
totus,tōtus,tōtus -a -um,Adjective: 1st and 2nd Declension,Measurement,78,"whole, entire"
trado,trādō,trādō -dere -didī -ditum,Verb: 3rd Conjugation -ō,Business/Money,297,"hand over, yield"
traho,trahō,trahō trahere trāxī trāctum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,213,"drag, draw"
transeo,trānseō,trānseō -īre -iī -itum,Verb: Irregular,Travel,431,go across
tres,trēs,trēs tria,Adjective: Numeral,Measurement,533,three
tribunus,tribūnus,tribūnus -ī m.,Noun: 2nd Declension,The City,807,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī"
tristis,trīstis,trīstis -e,Adjective: 3rd Declension,Emotions,275,"sad, solemn, grim"
tu,tū,tū tuī tibi tē,Pronoun,Pronouns/Interrogatives,9,you (sing.)
tum,tum,tum or tunc,Adverb,Time,56,then
turba,turba,turba -ae f.,Noun: 1st Declension,The City,323,"crowd, uproar"
turbo,turbō,turbō -āre,Verb: 1st Conjugation,Speech/Oratory,868,"disturb, confuse"
turpis,turpis,turpis -e,Adjective: 3rd Declension,Other Senses,377,"ugly, unsightly; disgraceful"
tutus,tūtus,tūtus -a -um,Adjective: 1st and 2nd Declension,War and Peace,365,"safe, protected"
tuus,tuus,tuus -a -um,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,44,your
vaco,vacō,vacō vacāre,Verb: 1st Conjugation,Measurement,724,"be empty, open, unoccupied"
vacuus,vacuus,vacuus -a -um,Adjective: 1st and 2nd Declension,Measurement,673,empty
vagus,vagus,vagus -a -um,Adjective: 1st and 2nd Declension,Travel,674,"wandering, shifting"
valeo,valeō,valeō valēre valuī,Verb: 2nd Conjugation,Social Life,539,"be strong, excel, be valid, prevail; valē: farewell!"
validus,validus,validus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,816,strong
vanus,vanus,vanus -a -um,Adjective: 1st and 2nd Declension,Deception,856,"empty; false, deceitful"
varius,varius,varius -a -um,Adjective: 1st and 2nd Declension,Other Senses,631,"changing, varied, various"
vates,vātēs,vātēs -is m.,Noun: 3rd Declension,Writing/Poetry,684,"poet, bard"
ubi,ubi,ubi,Adverb,Place,92,"where, when"
ve,ve,ve,Conjunction,Conjunctions/Adverbs,307,or (postpositive enclitic)
veho,vehō,vehō vehere vēxī vectum,Verb: 3rd Conjugation -ō,Travel,632,"carry; vehor vehī vectus sum: travel, ride"
vel,vel,vel,Conjunction,Conjunctions/Adverbs,141,"or else, or; even; vel ... vel: either … or"
velut,velut,velut,Adverb,Conjunctions/Adverbs,447,"even as, just as"
venio,veniō,veniō venīre vēnī ventum,Verb: 4th Conjugation,Motion,63,come
ventus,ventus,ventus -ī m.,Noun: 2nd Declension,Air and Fire,269,wind
verbum,verbum,verbum -ī n.,Noun: 2nd Declension,Writing/Poetry,188,word
vere,vērē,vērē,Adverb,Speech/Oratory,983,truly
vereor,vereor,vereor verērī veritus sum,Verb: Deponent,Emotions,884,"fear, stand in awe of"
vero,vērō,vērō,Adverb,Conjunctions/Adverbs,280,"in fact, certainly, without doubt"
verto,vertō,vertō vertere vertī versum,Verb: 3rd Conjugation -ō,Motion,288,turn
verus,vērus,vērus -a -um,Adjective: 1st and 2nd Declension,Speech/Oratory,410,true
vester,vester,vester vestra vestrum,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,282,your
vestigium,vestīgium,vestīgium -ī n.,Noun: 2nd Declension,Travel,716,"footstep, footprint, track"
vestis,vestis,vestis -is f.,Noun: 3rd Declension,Life and Being,413,"garment, robe, clothing"
veto,vetō,vetō -āre vetuī vetītum,Verb: 1st Conjugation,Verbs of Compelling/Directing,665,forbid
vetus,vetus,vetus veteris,Adjective: 3rd Declension,Time,295,old
via,via,via -ae f.,Noun: 1st Declension,Travel,196,"way, street"
vicinus,vīcīnus,vīcīnus -a -um,Adjective: 1st and 2nd Declension,Geography,940,"neighboring, near"
victor,victor,victor -ōris m.,Noun: 3rd Declension,War and Peace,340,conqueror
victoria,victōria,victōria -ae f.,Noun: 1st Declension,War and Peace,750,victory
video,videō,videō vidēre vīdī vīsum,Verb: 2nd Conjugation,Vision,31,see
vinco,vincō,vincō vincere vīcī victum,Verb: 3rd Conjugation -ō,War and Peace,101,conquer
vinculum,vinculum,vinculum -ī n.,Noun: 2nd Declension,War and Peace,594,"bond, fetter, tie"
vinum,vīnum,vīnum -ī n.,Noun: 2nd Declension,Animals/Plants,640,"vine, wine"
vir,vir,vir virī m.,Noun: 2nd Declension,People,85,man
virgo,virgō,virgō -inis f.,Noun: 3rd Declension,People,418,"maiden, virgin, girl"
virtus,virtūs,virtūs -ūtis f.,Noun: 3rd Declension,Personality Traits/Characteristics,111,"valor, manliness, virtue"
vis,vīs,vīs f.,Noun: 3rd Declension,War and Peace,115,"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength"
vita,vīta,vīta -ae f.,Noun: 1st Declension,Life and Being,87,life
vitium,vitium,vitium -ī n.,Noun: 2nd Declension,Justice,326,"flaw, fault, crime"
vito,vītō,vītō -āre,Verb: 1st Conjugation,Social Life,881,"avoid, shun"
vivo,vīvō,vīvō vīvere vīxī vīctum,Verb: 3rd Conjugation -ō,Life and Being,156,live
vix,vix,vix,Adverb,Conjunctions/Adverbs,352,scarcely
ullus,ūllus,ūllus -a -um,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,178,"any, anyone"
ultimus,ultimus,ultimus -a -um,Adjective: 1st and 2nd Declension,Geography,432,"farthest, final, last, ultimate"
ultra,ultrā,ultrā,Preposition,Place,600,"beyond, further (adv. and prep. + acc.)"
umbra,umbra,umbra -ae f.,Noun: 1st Declension,Vision,257,"shade, shadow"
umquam,umquam,umquam,Adverb,Time,482,ever
unda,unda,unda -ae f.,Noun: 1st Declension,Earth and Water,207,"wave, flowing water, water"
unde,unde,unde,Adverb,Place,300,from where
undique,undique,undique,Adverb,Place,686,"from all sides, on all sides"
unus,ūnus,ūnus -a -um,Adjective: 1st and 2nd Declension,Measurement,53,one
voco,vocō,vocō -āre,Verb: 1st Conjugation,Speech/Oratory,158,call
volo,volō,volō velle voluī,Verb: Irregular,Emotions,66,"wish, be willing"
volucer,volucer,volucer -cris -cre,Adjective: 3rd Declension,Animals/Plants,977,flying
volucris,volucris,volucris -is f./m.,Noun: 3rd Declension,Animals/Plants,976,bird
voluntas,voluntās,voluntās -ātis f.,Noun: 3rd Declension,Emotions,859,"wish, desire"
voluptas,voluptās,voluptās -ātis f.,Noun: 3rd Declension,Social Life,378,"pleasure, enjoyment"
vos,vōs,vōs,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,130,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs"
votum,vōtum,vōtum -ī n.,Noun: 2nd Declension,Religion,334,"solemn promise, vow; hope"
vox,vōx,vōx vōcis f.,Noun: 3rd Declension,Speech/Oratory,169,"voice, utterance"
urbs,urbs,urbs urbis f.,Noun: 3rd Declension,The City,82,city
usque,ūsque,ūsque,Adverb,Time,527,up to; continuously
usus,ūsus,ūsus -ūs m.,Noun: 4th Declension,Education/Knowledge,446,"use, experience"
ut,ut,"ut, utī",Adverb,Conjunctions/Adverbs,15,"as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!"
uterque,uterque,uterque utraque utrumque,Conjunction,Measurement,243,each of two
utilis,ūtilis,ūtilis -e,Adjective: 3rd Declension,Making/Doing,850,useful
utor,ūtor,ūtor ūtī ūsus sum,Verb: Deponent,Making/Doing,330,"use, consume, employ (+ abl.)"
utrum,utrum,utrum,Conjunction,Conjunctions/Adverbs,827,whether; utrum ... an: whether ... or
vulgo,vulgō,vulgō,Adverb,The City,991,commonly
vulgus,vulgus,vulgus -ī n. and m.,Noun: 2nd Declension,The City,675,the common people
vulnus,vulnus,vulnus -eris n.,Noun: 3rd Declension,Violence,327,wound
vultus,vultus,vultus -ūs m.,Noun: 4th Declension,The Body,209,"look, expression, face"
uxor,uxor,uxor uxōris f.,Noun: 3rd Declension,The Household,552,wife
