lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
concedo,concēdō,concēdō -cēdere -cessī -cessum,Verb: 3rd Conjugation -ō,War and Peace,663,"yield, withdraw"
condicio,condīciō,condīciō -ōnis f.,Noun: 3rd Declension,Business/Money,920,"agreement, condition"
condo,condō,condō -dere -didī -ditum,Verb: 3rd Conjugation -ō,The City,540,"build, found; store up; hide, conceal"
confero,cōnferō,cōnferō cōnferre contulī collātum,Verb: Irregular,Verbs of Transport,645,"collect, bring to"
conficio,cōnficiō,cōnficiō -ficere -fēcī -fectum,Verb: 3rd Conjugation -iō,Violence,894,"complete, accomplish; destroy, kill, consume"
confiteor,cōnfiteor,cōnfiteor cōnfitērī cōnfessus sum,Verb: Deponent,Justice,972,"admit (a fact), confess (a crime); reveal, disclose"
coniunx,coniunx,coniunx coniugis m./f.,Noun: 3rd Declension,The Household,218,"spouse, husband, wife"
conor,cōnor,cōnor cōnārī cōnātus sum,Verb: Deponent,Making/Doing,905,"try, attempt"
consequor,cōnsequor,cōnsequor -sequī -secūtus sum,Verb: Deponent,Motion,917,"follow up, overtake, attain"
consilium,cōnsilium,cōnsilium -ī n.,Noun: 2nd Declension,The City,217,"plan; council, group of advisors"
consisto,cōnsistō,cōnsistō -sistere -stitī,Verb: 3rd Conjugation -ō,Speech/Oratory,780,"take position; consist in, be composed of"
constituo,cōnstituō,cōnstituō -stituere -stituī -stitūtum,Verb: 3rd Conjugation -ō,Making/Doing,652,"establish, put together"
consto,cōnstō,cōnstō -stāre -stitī,Verb: 1st Conjugation,Speech/Oratory,731,"agree; constat, it is established that (+ acc. and infin.)"
consuetudo,cōnsuētūdo,cōnsuētūdo -inis f.,Noun: 3rd Declension,Personality Traits/Characteristics,954,"custom, habit"
consul,cōnsul,cōnsul -ulis m.,Noun: 3rd Declension,The City,321,consul
consulo,cōnsulō,cōnsulō -sulere -suluī -sultum,Verb: 3rd Conjugation -ō,The City,757,"consult, plan (+ acc.); consider the interests of (+dat)"
consumo,cōnsūmō,cōnsūmō -sūmere -sūmpsī -sūmptum,Verb: 3rd Conjugation -ō,Life and Being,869,"to use up, consume"
contemno,contemnō,contemnō -temnere -tempsī -temptum,Verb: 3rd Conjugation -ō,Emotions,615,"despise, scorn, disdain"
contineo,contineō,contineō -tinēre -tinuī -tentum,Verb: 2nd Conjugation,Verbs of Compelling/Directing,804,"contain, restrain"
contingo,contingō,contingō -tingere -tigī -tactum,Verb: 3rd Conjugation -ō,Place,494,"touch, be contiguous to"
contra,contrā,contrā,Preposition,Place,271,"against, opposite (adv. and prep. +acc.)"
convenio,conveniō,conveniō -venīre -vēnī -ventum,Verb: 4th Conjugation,Social Life,698,"assemble, meet; agree"
converto,convertō,convertō -vertere -vertī -versum,Verb: 3rd Conjugation -ō,Motion,834,"turn about, turn, change"
convivium,convīvium,convīvium -iī n.,Noun: 2nd Declension,Social Life,921,"banquet, feast"
copia,cōpia,cōpia -ae f.,Noun: 1st Declension,War and Peace,331,abundance; (pl.) troops
cor,cor,cor cordis n.,Noun: 3rd Declension,The Body,795,"heart; cordī est, it is pleasing to (+ dat.)"
cornu,cornu,cornu -ūs n.,Noun: 4th Declension,Animals/Plants,591,horn
corpus,corpus,corpus corporis n.,Noun: 3rd Declension,The Body,75,body
corrumpo,corrumpō,corrumpō -rumpere -rūpī -ruptum,Verb: 3rd Conjugation -ō,Violence,870,"break up, destroy, ruin"
credo,crēdō,crēdō crēdere crēdidī crēditum,Verb: 3rd Conjugation -ō,Education/Knowledge,109,believe
creo,creō,creō -āre,Verb: 1st Conjugation,Making/Doing,978,"produce, create; elect, choose"
cresco,crēscō,crēscō crēscere crēvī crētum,Verb: 3rd Conjugation -ō,Animals/Plants,609,"grow, increase"
crimen,crīmen,crīmen -inis n.,Noun: 3rd Declension,Justice,475,"verdict, accusation"
culpa,culpa,culpa -ae f.,Noun: 1st Declension,Justice,769,"guilt, fault, blame"
cum,cum,cum,Preposition,Conjunctions/Adverbs,10,"with (prep. + abl.); when, since, although (conjunction + subj.)"
cunctus,cūnctus,cūnctus -a -um,Adjective: 1st and 2nd Declension,Measurement,292,entire all together
cupido,cupīdō,cupīdō -inis f.,Noun: 3rd Declension,Love,906,"desire, eagerness, craving"
cupio,cupiō,cupiō -ere -īvī -ītum,Verb: 3rd Conjugation -iō,Love,441,desire
cur,cūr,cūr,Adverb,Pronouns/Interrogatives,404,why?
cura,cūra,cūra -ae f.,Noun: 1st Declension,Love,186,"care, concern"
curo,cūrō,cūrō -āre,Verb: 1st Conjugation,Love,743,"watch over, look after, care for (+ acc.)"
curro,currō,currō currere cucurrī cursum,Verb: 3rd Conjugation -ō,Athletics,562,run
currus,currus,currus -ūs m.,Noun: 4th Declension,Athletics,491,chariot
cursus,cursus,cursus -ūs m.,Noun: 4th Declension,Athletics,351,"course, advance"
custos,custōs,custōs custōdis m.,Noun: 3rd Declension,The Household,622,guardian
damno,damnō,damnō -āre,Verb: 1st Conjugation,Justice,751,condemn
damnum,damnum,damnum -ī n.,Noun: 2nd Declension,Violence,926,"damage, injury"
de,dē,dē,Preposition,Place,46,"down from, about, concerning (+ abl.)"
debeo,dēbeō,dēbeō dēbēre dēbuī dēbitum,Verb: 2nd Conjugation,Business/Money,155,"owe, be obliged"
decem,decem,decem,Adjective: Numeral,Measurement,914,ten
decerno,dēcernō,dēcernō -cernere -crēvī -crētum,Verb: 3rd Conjugation -ō,Education/Knowledge,800,"determine, decide"
decet,decet,decet decēre decuīt,Verb: Impersonal,Personality Traits/Characteristics,718,"it is right, proper, fitting (+ acc. + infin.)"
decus,decus,decus decoris n.,Noun: 3rd Declension,Personality Traits/Characteristics,548,"beauty, grace; ornament, glory, honor"
deduco,dēdūcō,dēdūcō -dūcere -dūxī -ductum,Verb: 3rd Conjugation -ō,Travel,661,"launch, lead away"
defendo,dēfendō,dēfendō -fendere -fendī -fēnsum,Verb: 3rd Conjugation -ō,War and Peace,653,"defend, ward off"
defero,dēferō,dēferō -ferre -tulī -lātum,Verb: Irregular,Verbs of Transport,805,"carry away, report"
deficio,deficiō,deficiō -ficere -fēcī -fectum,Verb: 3rd Conjugation -iō,War and Peace,676,"fail, give out; revolt from"
deinde/dein,deinde/dein,deinde/dein,Adverb,Time,150,"then, next"
denique,dēnique,dēnique,Adverb,Time,796,finally
descendo,dēscendō,dēscendō -scendere -scendī -scēnsum,Verb: 3rd Conjugation -ō,Travel,802,"climb down, descend"
desero,dēserō,dēserō -ere dēseruī dēsertum,Verb: 3rd Conjugation -ō,Motion,544,"leave, desert, abandon"
desidero,dēsīderō,dēsīderō -āre,Verb: 1st Conjugation,Love,892,"long for, desire greatly"
desino,dēsinō,dēsinō -sinere -siī -situm,Verb: 3rd Conjugation -ō,Motion,624,"leave off, cease"
desum,dēsum,dēsum -esse -fuī,Verb: Irregular,Business/Money,463,be lacking
deus,deus,deus -ī m.; dea -ae f.,Noun: 2nd Declension,Religion,42,god; goddess
dexter,dexter,dexter -tra -trum,Adjective: 1st and 2nd Declension,Place,260,right; dextera -ae f.: right hand
dico,dīcō,dīcō dīcere dīxī dictum,Verb: 3rd Conjugation -ō,Speech/Oratory,33,"say; causam dīcere, plead a case; diem dīcere, appoint a day"
dies,diēs,diēs diēī m./f.,Noun: 5th Declension,Lengths of Time,54,day
differo,differō,differō differre distulī dīlātum,Verb: Irregular,Making/Doing,880,"scatter; publish, divulge; differ; defer, postpone"
difficilis,difficilis,difficilis -e,Adjective: 3rd Declension,Personality Traits/Characteristics,861,"not easy, hard, difficult"
dignitas,dīgnitās,dīgnitās -ātis f.,Noun: 3rd Declension,Personality Traits/Characteristics,956,"worth, reputation, honor"
dignus,dīgnus,dīgnus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,291,worthy
diligo,dīligō,dīligō -ligere -lēxī -lēctum,Verb: 3rd Conjugation -ō,Love,973,"choose, cherish, love"
dimitto,dīmittō,dīmittō -mittere -mīsī -missum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,777,send away
discedo,discēdō,discēdō -ere -cessī -cessum,Verb: 3rd Conjugation -ō,Travel,726,"go away, depart"
disciplina,disciplīna,disciplīna -ae f.,Noun: 1st Declension,Education/Knowledge,982,"training, instruction; learning, discipline"
disco,discō,discō -ere didicī,Verb: 3rd Conjugation -ō,Education/Knowledge,465,learn
diu:,diū:,diū:,Adverb,Time,361,for a long time
diversus,dīversus,dīversus -a -um,Adjective: 1st and 2nd Declension,Other Senses,641,"different, diverse"
dives,dīves,dīves dīvitis,Adjective: 3rd Declension,Business/Money,564,"rich (poet. dīs, dītis)"
divido,dīvidō,dīvidō -ere dīvīsī dīvīsum,Verb: 3rd Conjugation -ō,Making/Doing,628,"divide, separate"
divitiae,dīvitiae,dīvitiae -ārum f. pl.,Noun: 1st Declension,Business/Money,712,"riches, wealth"
divus,dīvus,dīvus -a -um,Adjective: 1st and 2nd Declension,Religion,962,"divine, godlike; (as subst.) a god"
do,dō,dō dare dedī datum,Verb: 1st Conjugation,Social Life,28,give
doceo,doceō,doceō -ēre -uī doctum,Verb: 2nd Conjugation,Education/Knowledge,393,teach
doleo,doleō,doleō -ēre doluī,Verb: 2nd Conjugation,Emotions,785,"feel pain or grief, grieve"
dolor,dolor,dolor -ōris m.,Noun: 3rd Declension,Emotions,193,"pain, grief"
dolus,dolus,dolus -ī m.,Noun: 2nd Declension,Deception,701,"artifice, device, trick"
dominus,dominus,dominus -ī m.; domina -ae f.,Noun: 2nd Declension,The Household,241,"household master, lord; mistress"
domus,domus,domus -ūs f.,Noun: 4th Declension,The House,73,"house, home"
donec,dōnec,dōnec,Conjunction,Time,771,until
dono,dōnō,dōnō -āre,Verb: 1st Conjugation,Social Life,606,present with a gift (+ acc. of person and abl. of thing)
donum,dōnum,dōnum -ī n.,Noun: 2nd Declension,Social Life,476,"gift, present"
dormio,dormiō,dormiō -īre,Verb: 4th Conjugation,Life and Being,975,sleep
dubito,dubitō,dubitō -āre,Verb: 1st Conjugation,Education/Knowledge,521,"hesitate, doubt"
dubius,dubius,dubius -a -um,Adjective: 1st and 2nd Declension,Deception,528,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly"
duco,dūcō,dūcō dūcere dūxī ductum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,133,"lead; uxōrem dūcere, marry"
dulcis,dulcis,dulcis -e,Adjective: 3rd Declension,Other Senses,383,sweet
dum,dum,dum,Conjunction,Time,103,while (+ indic.); until (+ subj.); provided that (+ subj.)
duo,duo,duo duae duo,Adjective: Numeral,Measurement,221,two
